option_type,expire_date,symbol,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CALLS,2022-10-21,AMZN,AMZN221021C00078000,2022-10-11 13:52:40+00:00,78.0,33.4,40.95,41.1,0.0,0.0,6.0,50.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00079000,2022-10-03 14:24:57+00:00,79.0,35.1,39.85,40.0,0.0,0.0,3.0,59.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00080000,2022-10-19 17:43:24+00:00,80.0,33.98,39.0,39.15,0.0,0.0,20.0,217.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00081000,2022-10-13 13:48:44+00:00,81.0,26.4,37.95,38.1,0.0,0.0,1.0,28.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00082000,2022-10-14 14:28:43+00:00,82.0,28.7,36.85,37.0,0.0,0.0,2.0,61.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00083000,2022-10-19 14:00:45+00:00,83.0,30.77,35.95,36.1,0.0,0.0,1.0,65.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00084000,2022-10-17 17:55:55+00:00,84.0,29.25,34.85,35.0,0.0,0.0,2.0,25.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00085000,2022-10-20 14:56:10+00:00,85.0,32.4,34.0,34.15,0.0,0.0,20.0,81.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00086000,2022-10-14 14:28:43+00:00,86.0,24.7,32.95,33.1,0.0,0.0,3.0,38.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00087000,2022-10-17 14:34:27+00:00,87.0,25.8,31.9,32.1,0.0,0.0,8.0,29.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00088000,2022-10-17 14:34:27+00:00,88.0,24.8,31.0,31.15,0.0,0.0,10.0,87.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00089000,2022-10-19 17:40:36+00:00,89.0,24.85,29.85,30.0,0.0,0.0,1.0,132.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00090000,2022-10-21 13:39:01+00:00,90.0,25.68,28.95,29.1,-1.4699993,-5.4143624,25.0,553.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00091000,2022-10-19 19:11:53+00:00,91.0,23.46,28.0,28.15,0.0,0.0,1.0,459.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00092000,2022-10-18 19:37:37+00:00,92.0,24.28,26.95,27.1,0.0,0.0,1.0,139.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00093000,2022-10-21 15:05:44+00:00,93.0,22.7,25.85,26.0,2.9500008,14.936712,4.0,53.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00094000,2022-10-19 13:39:33+00:00,94.0,20.6,24.85,25.0,0.0,0.0,4.0,99.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00095000,2022-10-21 16:15:28+00:00,95.0,22.25,23.95,24.0,-0.3899994,-1.7226121,14.0,264.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00096000,2022-10-19 16:03:30+00:00,96.0,18.9,22.95,23.15,0.0,0.0,10.0,115.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00097000,2022-10-21 14:56:21+00:00,97.0,19.2,21.95,22.1,1.5500011,8.781877,6.0,2255.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00098000,2022-10-21 17:54:58+00:00,98.0,20.22,20.95,21.1,1.6199989,8.709672,17.0,266.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00099000,2022-10-21 19:03:39+00:00,99.0,19.75,19.9,20.05,3.3799992,20.64752,15.0,558.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00100000,2022-10-21 19:01:31+00:00,100.0,18.69,19.0,19.15,3.4000006,22.23676,407.0,9717.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00101000,2022-10-21 19:00:08+00:00,101.0,17.74,17.95,18.1,3.7600002,26.895569,19.0,681.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00102000,2022-10-21 16:01:50+00:00,102.0,15.38,16.9,17.05,2.3400002,17.944786,1644.0,1948.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00103000,2022-10-21 18:16:12+00:00,103.0,15.52,16.0,16.1,3.3700008,27.736633,3824.0,3853.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00104000,2022-10-21 16:27:11+00:00,104.0,12.98,14.95,15.1,1.6799994,14.867251,3309.0,3410.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00105000,2022-10-21 19:03:05+00:00,105.0,13.74,14.0,14.0,3.37,32.49759,453.0,5144.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00106000,2022-10-21 18:17:08+00:00,106.0,12.39,13.0,13.15,3.0200005,32.23053,5640.0,6375.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00107000,2022-10-21 18:25:42+00:00,107.0,11.46,11.9,12.05,3.0900002,36.917564,755.0,3093.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00108000,2022-10-21 18:50:34+00:00,108.0,10.54,10.9,11.05,3.0900002,41.476513,260.0,4524.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00109000,2022-10-21 18:55:54+00:00,109.0,9.45,9.95,10.1,3.0499997,47.656246,392.0,1613.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00110000,2022-10-21 19:07:31+00:00,110.0,8.97,8.85,9.0,3.3700004,60.178577,1030.0,8359.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00111000,2022-10-21 19:08:53+00:00,111.0,8.05,7.9,8.05,3.6800003,84.21053,537.0,3205.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00112000,2022-10-21 19:08:28+00:00,112.0,7.01,7.0,7.1,3.4100003,94.72224,1290.0,4849.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00113000,2022-10-21 19:09:35+00:00,113.0,5.94,5.95,6.05,3.3,124.999985,1220.0,4483.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00114000,2022-10-21 19:08:28+00:00,114.0,5.01,5.0,5.1,3.0000002,149.25375,2983.0,7388.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00115000,2022-10-21 19:09:11+00:00,115.0,4.1,4.0,4.1,2.75,203.70372,15106.0,15663.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00116000,2022-10-21 19:09:22+00:00,116.0,3.0,3.0,3.1,2.12,240.90907,21198.0,10684.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00117000,2022-10-21 19:09:22+00:00,117.0,2.0,2.04,2.09,1.49,292.15686,37684.0,13624.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00118000,2022-10-21 19:09:27+00:00,118.0,1.05,1.01,1.05,0.77,275.0,28850.0,10293.0,1.0000000000000003e-05,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00119000,2022-10-21 19:09:20+00:00,119.0,0.34,0.33,0.35,0.18,112.500015,23755.0,10741.0,0.1054776953125,True,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00120000,2022-10-21 19:09:43+00:00,120.0,0.04,0.04,0.05,-0.04,-50.0,23952.0,47190.0,0.12012598632812499,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00121000,2022-10-21 19:09:21+00:00,121.0,0.01,0.01,0.02,-0.03,-75.0,1883.0,7820.0,0.17188328125000002,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00122000,2022-10-21 19:09:11+00:00,122.0,0.01,0.0,0.01,-0.01,-50.0,4156.0,12243.0,0.21875781249999998,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00123000,2022-10-21 19:02:22+00:00,123.0,0.01,0.0,0.01,-0.01,-50.0,1257.0,8758.0,0.28125718749999995,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00124000,2022-10-21 19:00:15+00:00,124.0,0.01,0.0,0.01,-0.01,-50.0,316.0,10066.0,0.3437565625,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00125000,2022-10-21 19:09:43+00:00,125.0,0.01,0.0,0.01,0.0,0.0,1040.0,41355.0,0.4062559375,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00126000,2022-10-21 19:07:00+00:00,126.0,0.01,0.0,0.01,0.0,0.0,320.0,6331.0,0.45313046875,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00127000,2022-10-21 18:06:58+00:00,127.0,0.01,0.0,0.01,0.0,0.0,66.0,4571.0,0.51562984375,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00128000,2022-10-21 19:03:25+00:00,128.0,0.01,0.0,0.01,0.0,0.0,82.0,4912.0,0.5312546875,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00129000,2022-10-21 15:29:18+00:00,129.0,0.01,0.0,0.01,0.0,0.0,23.0,3695.0,0.57812921875,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00130000,2022-10-21 19:02:15+00:00,130.0,0.01,0.0,0.01,0.0,0.0,82.0,27010.0,0.6250037500000001,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00131000,2022-10-21 17:45:07+00:00,131.0,0.01,0.0,0.01,0.0,0.0,21.0,3851.0,0.6875031250000001,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00132000,2022-10-21 18:17:16+00:00,132.0,0.01,0.0,0.01,0.0,0.0,13.0,2957.0,0.7187528125,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00133000,2022-10-21 19:00:54+00:00,133.0,0.01,0.0,0.01,0.0,0.0,8.0,2482.0,0.7812521875,False,REGULAR,USD
